name,latitude,longitude,pop2019,GrowthRate,area,Density
Saudi Arabia,23.885942,45.079162,34268.528,1.0159,2149690,15.9411
Senegal,14.497401,-14.452362,16296.364,1.0275,196722,82.8396
Serbia,44.016521,21.005859,8772.235,0.996,88361,99.2772
Seychelles,-4.679574,55.491977,97.739,1.0062,452,216.2367
Sierra Leone,8.460555,-11.779889,7813.215,1.021,71740,108.9102
Singapore,1.352083,103.819836,5804.337,1.0079,710,8175.1225
Slovakia,48.669026,19.699024,5457.013,1.0005,49037,111.2836
Slovenia,46.151241,14.995463,2078.654,1.0001,20273,102.5331
Solomon Islands,-9.64571,160.156194,669.823,1.0255,28896,23.1805
Somalia,5.152149,46.199616,15442.905,1.0292,637657,24.2182
South Africa,-30.559482,22.937506,58558.27,1.0128,1221037,47.9578
South Georgia and the South Sandwich Islands,-54.429579,-36.587909,,,,
South Korea,35.907757,127.766922,51225.308,1.0009,100210,511.1796
Spain,40.463667,-3.74922,46736.776,1.0004,505992,92.3666
Sri Lanka,7.873054,80.771797,21323.733,1.0042,65610,325.0074
Sudan,12.862807,30.217636,42813.238,1.0242,1886068,22.6997
Suriname,3.919305,-56.027783,581.372,1.009,163820,3.5488
Svalbard and Jan Mayen,77.553604,23.670272,,,,
Swaziland,-26.522503,31.465866,1148.13,1.0105,17364,66.1213
Sweden,60.128161,18.643501,10036.379,1.0063,450295,22.2885
Switzerland,46.818188,8.227512,8591.365,1.0074,41284,208.104
Syria,34.802075,38.996815,17070.135,1.0252,185180,92.1813
Taiwan,23.69781,120.960515,23773.876,1.0018,36193,656.8639
Tajikistan,38.861034,71.276093,9321.018,1.0232,143100,65.1364
Tanzania,-6.369028,34.888822,58005.463,1.0298,945087,61.3758
Thailand,15.870032,100.992541,69625.582,1.0025,513120,135.6906
Timor-Leste,-8.874217,125.727539,1293.119,1.0196,14874,86.9382
Togo,8.619543,0.824782,8082.366,1.0243,56785,142.3328
Tokelau,-8.967363,-171.855881,1.34,1.0127,12,111.6667
Tonga,-21.178986,-175.198242,104.494,1.0115,747,139.8849
Trinidad and Tobago,10.691803,-61.222503,1394.973,1.0032,5130,271.9246
Tunisia,33.886917,9.537499,11694.719,1.0106,163610,71.4792
Turkey,38.963745,35.243322,83429.615,1.0109,783562,106.4748
Turkmenistan,38.969719,59.556278,5942.089,1.015,488100,12.1739
Turks and Caicos Islands,21.694025,-71.797928,38.191,1.0138,948,40.2859
Tuvalu,-7.109535,177.64933,11.646,1.0125,26,447.9231
U.S. Minor Outlying Islands,,,,,,
United States Virgin Islands,18.335765,-64.896335,,,,
Uganda,1.373333,32.290275,44269.594,1.0332,241550,183.273
Ukraine,48.379433,31.16558,43993.638,0.9941,603500,72.8975
United Arab Emirates,23.424076,53.847818,9770.529,1.0123,83600,116.8724
United Kingdom,55.378051,-3.435973,67530.172,1.0053,242900,278.0164
United States,37.09024,-95.712891,329064.917,1.0059,9372610,35.1092
Uruguay,-32.522779,-55.765835,3461.734,1.0035,181034,19.122
Uzbekistan,41.377491,64.585262,32981.716,1.0148,447400,73.7186
Vanuatu,-15.376706,166.959158,299.882,1.0242,12189,24.6027
Vatican City,41.902916,12.453389,0.799,1.0025,0.44,1815.9091
Venezuela,6.42375,-66.58973,28515.829,0.9972,916445,31.1157
Vietnam,14.058324,108.277199,96462.106,1.0091,331212,291.2398
Wallis and Futuna,-13.768752,-177.156097,11.432,0.9831,142,80.507
Western Sahara,24.215527,-12.885834,582.463,1.0255,266000,2.1897
Yemen,15.552727,48.516388,29161.922,1.0228,527968,55.2343
Zambia,-13.133897,27.849332,17861.03,1.0293,752612,23.7321
Zimbabwe,-19.015438,29.154857,14645.468,1.0148,390757,37.4797
